,word,slice,cluster,distance,sense
0,festal,c1_en_gay_colors,aristocratic;aristocratical;gentle;festive;merry;low-spirited;juicy;gloomy;pinkish;gay,0.188953697681427;0.2024877667427063;0.23038911819458008;0.2323504090309143;0.23515599966049194;0.25059181451797485;0.2656722664833069;0.26686543226242065;0.28121936321258545;0.28348320722579956,1
1,festal,c2_en_gay_colors,gloomy;merry;aristocratic;festive;gentleman;homosexual;racy;jolly;gentle;grim,0.2527894973754883;0.25356054306030273;0.2764829993247986;0.2766897678375244;0.2826589345932007;0.2863985300064087;0.2960718274116516;0.29835039377212524;0.2984654903411865;0.30810534954071045,1
