,word,slice,cluster,distance,sense
0,blueness,c1_en_gay_colors,blue;blueish;pinkish;womanhood;gloomy;bluish;gentle;merry;low-spirited;girl,0.2093585729598999;0.24926066398620605;0.26195186376571655;0.26795250177383423;0.2853795886039734;0.2971813678741455;0.30050086975097656;0.315215528011322;0.3178709149360657;0.31894487142562866,1
1,blueness,c2_en_gay_colors,blue;pinkish;bluish;pink;jolly;womanhood;merry;racy;grim;festive,0.16594839096069336;0.20002222061157227;0.2372320294380188;0.24987465143203735;0.3125082850456238;0.3128611445426941;0.3200688362121582;0.32662248611450195;0.32840895652770996;0.332516610622406,1
