,word,slice,cluster,distance,sense
0,pink,c1_en_gay_colors,pinkish;bluish;blueish;blue;juicy;low-spirited;gay;blueness;aristocratic;festal,0.15160930156707764;0.2117934226989746;0.2272159457206726;0.2966275215148926;0.30563998222351074;0.3245018720626831;0.3288935422897339;0.3289380669593811;0.3453480005264282;0.35276931524276733,1
1,pink,c2_en_gay_colors,pinkish;blue;bluish;blueness;jolly;gay;racy;womanhood;homosexual;queer,0.10391348600387573;0.20566779375076294;0.21686893701553345;0.24987465143203735;0.2800053358078003;0.2846895456314087;0.31475329399108887;0.3237847089767456;0.35735297203063965;0.35855168104171753,1
