,word,slice,cluster,distance,sense
0,gentleman,c1_en_gay_colors,man;aristocratic;woman;low-spirited;aristocratical;festal;womanhood;girl;gentle;homo,0.20668017864227295;0.2385190725326538;0.23897677659988403;0.27738845348358154;0.2823379635810852;0.2957040071487427;0.31411653757095337;0.31491678953170776;0.31655293703079224;0.3217243552207947,1
1,gentleman,c2_en_gay_colors,aristocratic;merry;gentle;woman;girlfriend;gloomy;festal;man;womanhood;girl,0.2387603521347046;0.25195181369781494;0.25433385372161865;0.26476699113845825;0.2716491222381592;0.28075456619262695;0.2826589345932007;0.2830233573913574;0.2900017499923706;0.29134130477905273,1
