,word,slice,cluster,distance,sense
0,merry,c1_en_gay_colors,braw;low-spirited;gentle;festal;gloomy;cheery;aristocratic;juicy;queer;grim,0.22802817821502686;0.23167920112609863;0.23198330402374268;0.23515599966049194;0.24154412746429443;0.24678796529769897;0.25677257776260376;0.25699275732040405;0.27047836780548096;0.2704804539680481,1
1,merry,c2_en_gay_colors,racy;cheery;gloomy;gentleman;festal;aristocratic;grim;jolly;festive;gentle,0.21896886825561523;0.23933684825897217;0.2515541911125183;0.25195181369781494;0.25356054306030273;0.2607400417327881;0.26604241132736206;0.27700144052505493;0.2780497074127197;0.29309606552124023,1
