,word,slice,cluster,distance,sense
0,miss,c1_en_gay_colors,woman;girl;low-spirited;merry;festal;pinkish;aristocratic;fille;juicy;pink,0.32551831007003784;0.33285558223724365;0.348679780960083;0.36469799280166626;0.36726999282836914;0.36748093366622925;0.36930274963378906;0.37070637941360474;0.371137797832489;0.37548696994781494,1
1,miss,c2_en_gay_colors,jolly;pinkish;pink;racy;gay;blueness;womanhood;merry;gentleman;queer,0.43525493144989014;0.4413333535194397;0.4489642381668091;0.44935089349746704;0.46019601821899414;0.4646703004837036;0.4680652618408203;0.4699808359146118;0.4705774784088135;0.47866886854171753,1
