,word,slice,cluster,distance,sense
0,racy,c1_en_gay_colors,cheery;festal;aristocratic;gay;gentle;juicy;pinkish;aristocratical;festive;low-spirited,0.2728416919708252;0.30729466676712036;0.3107410669326782;0.3132709860801697;0.31401312351226807;0.31719815731048584;0.322094202041626;0.32457971572875977;0.32478243112564087;0.3283137083053589,1
1,racy,c2_en_gay_colors,jolly;merry;gay;queer;gloomy;womanhood;pinkish;aristocratic;bluish;grim,0.18146055936813354;0.21896886825561523;0.23442083597183228;0.2404213547706604;0.2643536925315857;0.26641106605529785;0.2674100399017334;0.2733948230743408;0.2754238247871399;0.2804955840110779,1
