,word,slice,cluster,distance,sense
0,cheery,c1_en_gay_colors,queer;low-spirited;gay;pinkish;merry;juicy;gentle;racy;aristocratical;festal,0.19690442085266113;0.23667728900909424;0.2380562424659729;0.2432505488395691;0.24678796529769897;0.26171553134918213;0.26876550912857056;0.2728416919708252;0.2797584533691406;0.2844822406768799,1
1,cheery,c2_en_gay_colors,festive;grim;merry;gloomy;juicy;aristocratic;queer;racy;gentle;jolly,0.2363431453704834;0.23789548873901367;0.23933684825897217;0.2537747621536255;0.2591284513473511;0.2691904306411743;0.28601300716400146;0.28713828325271606;0.2901926636695862;0.2935776710510254,1
