,word,slice,cluster,distance,sense
0,woman,c1_en_gay_colors,girl;man;gentleman;womanhood;fille;low-spirited;pinkish;miss;aristocratic;aristocratical,0.21701538562774658;0.23867136240005493;0.23897677659988403;0.2804928421974182;0.3017232418060303;0.30953437089920044;0.32451725006103516;0.32551831007003784;0.32923173904418945;0.3492351174354553,1
1,woman,c2_en_gay_colors,girl;womanhood;gentleman;girlfriend;man;fille;merry;gay;homosexual;festal,0.18914878368377686;0.20615023374557495;0.26476699113845825;0.27811509370803833;0.29453277587890625;0.33851563930511475;0.3676169514656067;0.370208203792572;0.3781283497810364;0.3867817521095276,1
