,word,slice,cluster,distance,sense
0,festive,c1_en_gay_colors,festal;aristocratic;juicy;cheery;aristocratical;racy;gay;gentleman;pinkish;merry,0.2323504090309143;0.3084813952445984;0.31128329038619995;0.31807941198349;0.3186103105545044;0.32478243112564087;0.3561174273490906;0.36172765493392944;0.3662261962890625;0.3726261258125305,1
1,festive,c2_en_gay_colors,cheery;gentle;grim;aristocratic;festal;merry;gloomy;racy;juicy;homosexual,0.2363431453704834;0.23863238096237183;0.24160641431808472;0.24620413780212402;0.2766897678375244;0.2780497074127197;0.2888842225074768;0.29892075061798096;0.30684876441955566;0.31109529733657837,1
