,word,slice,cluster,distance,sense
0,italien,c1_de_ww2,deutschland;frankreich;england;deutsch;demokratie;wirtschaft;krieg,0.4134836196899414;0.4157547950744629;0.4268081784248352;0.4970560073852539;0.555503785610199;0.5762447118759155;0.5783587694168091,1
1,italien,c2_de_ww2,deutschland;frankreich;england;demokratie;krieg;deutsch;diktatur;wirtschaft,0.33934372663497925;0.3683467507362366;0.37752753496170044;0.4126514792442322;0.4229872226715088;0.4238194227218628;0.4392275810241699;0.44496095180511475,1
