,word,slice,cluster,distance,sense
0,bluish,c1_en_gay_colors,blueish;pinkish;pink;juicy;blueness;blue;low-spirited;cheery;aristocratic;gentle,0.12655633687973022;0.14995461702346802;0.2117934226989746;0.2948070764541626;0.2971813678741455;0.29898154735565186;0.3207318186759949;0.32141757011413574;0.33534085750579834;0.3471744656562805,1
1,bluish,c2_en_gay_colors,pinkish;pink;blueness;racy;blue;jolly;queer;gay;cheery;womanhood,0.11278271675109863;0.21686893701553345;0.2372320294380188;0.2754238247871399;0.2768033742904663;0.28192001581192017;0.3071826696395874;0.31706249713897705;0.328574538230896;0.35050415992736816,1
