,word,slice,cluster,distance,sense
0,juicy,c1_en_gay_colors,pinkish;merry;cheery;festal;aristocratic;low-spirited;aristocratical;bluish;blueish;pink,0.25531160831451416;0.25699275732040405;0.26171553134918213;0.2656722664833069;0.2682342529296875;0.27874213457107544;0.2907712459564209;0.2948070764541626;0.3045889139175415;0.30563998222351074,1
1,juicy,c2_en_gay_colors,cheery;festive;gloomy;grim;merry;jolly;aristocratic;pinkish;homosexual;gentleman,0.2591284513473511;0.30684876441955566;0.31886130571365356;0.3334971070289612;0.33361881971359253;0.35883980989456177;0.3589794635772705;0.36645472049713135;0.367454469203949;0.37272894382476807,1
