,word,slice,cluster,distance,sense
0,aristocratic,c1_en_gay_colors,aristocratical;festal;low-spirited;gentleman;gentle;gloomy;womanhood;merry;grim;juicy,0.059990108013153076;0.188953697681427;0.2097153663635254;0.2385190725326538;0.23886674642562866;0.23892217874526978;0.2534249424934387;0.25677257776260376;0.2642059326171875;0.2682342529296875,1
1,aristocratic,c2_en_gay_colors,gentleman;festive;gloomy;merry;grim;cheery;racy;festal;gentle;homosexual,0.2387603521347046;0.24620413780212402;0.24650251865386963;0.2607400417327881;0.2683650255203247;0.2691904306411743;0.2733948230743408;0.2764829993247986;0.2818291187286377;0.30659276247024536,1
