,word,slice,cluster,distance,sense
0,fille,c1_en_gay_colors,girl;womanhood;woman;merry;low-spirited;aristocratic;festal;juicy;aristocratical;blueness,0.23414278030395508;0.290499746799469;0.3017232418060303;0.33338552713394165;0.3393986225128174;0.33954066038131714;0.3414159417152405;0.3550787568092346;0.35512715578079224;0.36050188541412354,1
1,fille,c2_en_gay_colors,girl;homosexual;festal;girlfriend;woman;gay;gentleman;womanhood;cheery;festive,0.3159167170524597;0.32231801748275757;0.3280181884765625;0.3323371410369873;0.33851563930511475;0.3413814306259155;0.34420984983444214;0.34921151399612427;0.36229878664016724;0.36776965856552124,1
